,artist,album,track_name
57,Usher,8701,U Got It Bad
58,Craig David,Slicker than Your Average,Rise & Fall (feat. Sting)
59,Outlandish,Closer Than Veins,Callin' U
60,Chris Brown,Exclusive - The Forever Edition,With You
61,Outlandish,Bread & Barrels Of Water,Aicha
62,Jennifer Lopez,This Is Me...Then,Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix
63,Shaggy,Hot Shot (International Version #2),Angel
64,Blue,Best Of Blue,Sorry Seems To Be The Hardest Word
65,James Morrison,"Songs For You, Truths For Me (International Exclusive Bundle)",Broken Strings
66,Busta Rhymes,It Ain't Safe No More. . .,I Know What You Want (feat. Flipmode Squad)
67,Daniel Powter,Daniel Powter,Bad Day
68,Maroon 5,Songs About Jane: 10th Anniversary Edition,She Will Be Loved - Radio Mix
69,Gym Class Heroes,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine)
70,R. City,What Dreams Are Made Of,Locked Away (feat. Adam Levine)
71,Shawn Mendes,Handwritten,Stitches
72,Maroon 5,Overexposed Track By Track,One More Night
73,OneRepublic,Native,Counting Stars
74,Mr. Probz,Waves (Robin Schulz Radio Edit),Waves - Robin Schulz Radio Edit
75,Kygo,Cloud Nine,Stole the Show
76,Jonas Blue,Fast Car,Fast Car
77,Alan Walker,Faded,Faded
78,Felix Jaehn,I,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)
79,The Weeknd,Beauty Behind The Madness,Can't Feel My Face
80,The Weeknd,Beauty Behind The Madness,The Hills
81,OMI,Me 4 U,Cheerleader - Felix Jaehn Remix Radio Edit
82,Kiesza,Sound Of A Woman,Hideaway
83,Nico & Vinz,Black Star Elephant,Am I Wrong
84,Calvin Harris,Motion,Blame (feat. John Newman)
85,Macklemore & Ryan Lewis,The Heist,Can't Hold Us - feat. Ray Dalton
86,Calvin Harris,Motion,Summer
87,MAGIC!,Don't Kill the Magic,Rude
88,Sia,1000 Forms Of Fear,Chandelier
89,Kungs,Layers,This Girl (Kungs Vs. Cookin' On 3 Burners)
90,Matt Simons,Catch & Release (Deepend Remix),Catch & Release - Deepend Remix Extended Version
91,The Neighbourhood,I Love You.,Sweater Weather
